# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Apr  3 08:39:43 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
loc_rowid,pl_name,pl_orbsmax,pl_radj,st_mass
71,51 Eri b,13.2000000000,,1.750000
72,51 Eri b,,,1.550000
73,51 Eri b,14.0000000000,,1.650000
74,51 Peg b,0.0523500000,,1.069296
75,51 Peg b,0.0520000000,,
76,51 Peg b,0.0527000000,,1.030000
77,51 Peg b,,,
78,51 Peg b,0.0520000000,,1.040000
79,55 Cnc B b,0.0440000000,,0.260000
80,55 Cnc B c,0.1300000000,,0.260000
81,55 Cnc b,0.1150000000,,0.950000
82,55 Cnc b,0.1180000000,,1.015000
83,55 Cnc b,0.1100000000,,0.850000
84,55 Cnc b,0.1150000000,,0.950000
85,55 Cnc b,0.1133900000,,0.900000
86,55 Cnc b,0.1134000000,,0.900000
87,55 Cnc b,0.1138000000,,0.900000
88,55 Cnc b,0.1130000000,,
89,55 Cnc b,0.1162000000,,0.974708
90,55 Cnc b,0.1102000000,,
91,55 Cnc b,0.1150000000,,0.900000
92,55 Cnc b,0.1134000000,,0.905000
93,55 Cnc b,0.1152272500,,0.950000
94,55 Cnc b,0.1150000000,,
95,55 Cnc c,0.2470000000,,1.015000
96,55 Cnc c,0.2432000000,,0.974708
97,55 Cnc c,0.2306000000,,
98,55 Cnc c,0.2373000000,,0.905000
99,55 Cnc c,0.2380000000,,0.900000
100,55 Cnc c,0.2413760000,,0.950000
101,55 Cnc c,0.2400000000,,0.950000
102,55 Cnc c,0.2370000000,,0.900000
103,55 Cnc c,0.2400000000,,0.900000
104,55 Cnc c,0.2373500000,,0.900000
105,55 Cnc d,5.2800000000,,
106,55 Cnc d,5.9000000000,,0.950000
107,55 Cnc d,5.2570000000,,0.950000
108,55 Cnc d,5.9570000000,,0.905000
109,55 Cnc d,5.4700000000,,0.900000
110,55 Cnc d,5.8400000000,,0.900000
111,55 Cnc d,5.4460000000,,0.900000
112,55 Cnc d,5.7700000000,,0.900000
113,55 Cnc d,5.6000000000,,1.015000
114,55 Cnc d,5.3400000000,,
115,55 Cnc d,5.5030000000,,0.950000
116,55 Cnc d,5.5400000000,,0.974708
117,55 Cnc e,0.0377000000,,0.900000
118,55 Cnc e,0.0156909070,,0.950000
119,55 Cnc e,0.0158300000,0.19400000,0.900000
120,55 Cnc e,0.0158300000,,0.974708
121,55 Cnc e,0.0158300000,0.17800000,0.963000
122,55 Cnc e,0.0150000000,,
123,55 Cnc e,,0.18049029,
124,55 Cnc e,0.0154400000,0.16727630,0.905000
125,55 Cnc e,0.0380000000,,0.950000
126,55 Cnc e,0.0154400000,0.17129093,0.900000
127,55 Cnc e,0.0154390000,,0.900000
128,55 Cnc e,0.0154400000,0.17039879,0.900000
129,55 Cnc e,,0.16923900,0.873000
130,55 Cnc e,,,
131,55 Cnc e,,0.16558151,0.905000
132,55 Cnc e,,,0.900000
133,55 Cnc e,0.0160000000,,1.015000
134,55 Cnc e,,0.17370000,1.015000
135,55 Cnc e,,,
136,55 Cnc e,,,0.905000
137,55 Cnc e,0.0154400000,0.18556517,0.905000
138,55 Cnc f,0.7810000000,,0.900000
139,55 Cnc f,0.7700000000,,0.900000
140,55 Cnc f,0.7750000000,,0.900000
141,55 Cnc f,0.7733000000,,0.900000
142,55 Cnc f,0.7500000000,,
143,55 Cnc f,0.8020000000,,1.015000
144,55 Cnc f,0.7920000000,,0.974708
145,55 Cnc f,0.7708000000,,0.905000
146,55 Cnc f,0.7880000000,,0.950000
147,6 Lyn b,2.0280000000,,1.320000
148,6 Lyn b,2.2000000000,,1.700000
149,6 Lyn b,2.1100000000,,1.440000
150,6 Lyn b,2.1800000000,,1.820000
151,61 Vir b,0.0502010000,,0.942000
152,61 Vir b,0.0493100000,,
153,61 Vir b,0.0495600000,,0.914072
154,61 Vir c,0.2175000000,,0.942000
155,61 Vir c,0.2139000000,,
156,61 Vir c,0.2151000000,,0.914072
157,61 Vir d,0.4677000000,,
158,61 Vir d,0.4760000000,,0.942000
159,7 CMa b,1.7580000000,,1.340000
160,7 CMa b,1.9300000000,,
161,7 CMa b,1.8000000000,,1.439000
162,7 CMa b,1.9000000000,,1.520000
163,7 CMa c,2.2050000000,,1.439000
164,7 CMa c,2.1530000000,,1.340000
165,70 Vir b,0.4810000000,,1.090000
166,70 Vir b,0.4765000000,,1.060550
167,70 Vir b,0.4810000000,,1.090000
168,70 Vir b,0.4560000000,,
169,70 Vir b,0.4800000000,,1.140000
170,70 Vir b,0.4840000000,,1.110000
171,75 Cet b,2.1000000000,,2.490000
172,75 Cet b,1.9120000000,,1.920000
173,75 Cet c,3.9290000000,,1.920000
174,8 UMi b,0.4620000000,,1.510000
175,8 UMi b,0.4900000000,,1.800000
176,8 UMi b,0.4900000000,,1.440000
177,81 Cet b,2.1700000000,,1.600000
178,81 Cet b,2.1040000000,,1.230000
179,81 Cet b,2.5000000000,,2.400000
180,91 Aqr b,0.7000000000,,1.400000
181,AB Aur b,93.9000000000,,2.400000
182,AB Pic b,260.0000000000,,
183,AF Lep b,9.0100000000,,1.219000
184,AF Lep b,9.3000000000,,1.130000
185,AF Lep b,8.4000000000,,1.200000
186,AF Lep b,7.9900000000,,1.201000
187,AF Lep b,8.9960000000,,1.218000
188,AT2021ueyL b,4.0100000000,,0.490000
189,AU Mic b,0.0700000000,0.42733591,0.635000
190,AU Mic b,,,0.600000
191,AU Mic b,,,0.500000
192,AU Mic b,,,0.500000
193,AU Mic b,0.0660000000,0.37500000,0.500000
194,AU Mic b,0.0645000000,0.36310170,0.500000
195,AU Mic b,0.0645000000,,0.500000
196,AU Mic b,,0.35925888,
197,AU Mic b,0.0654000000,0.31671033,0.500000
198,AU Mic b,0.0704000000,0.39075810,0.560000
199,AU Mic b,,,0.600000
200,AU Mic b,0.0649000000,0.35300000,0.510000
201,AU Mic b,,,
202,AU Mic b,0.0644000000,0.37380741,
203,AU Mic c,0.0993000000,0.22838830,0.500000
204,AU Mic c,,,0.600000
205,AU Mic c,0.1108000000,0.22500000,0.510000
206,AU Mic c,0.1190000000,0.24890756,0.635000
207,AU Mic c,0.1101000000,0.28905394,0.500000
208,AU Mic c,0.1101000000,,0.500000
209,AU Mic c,,,0.500000
210,AU Mic c,0.1100000000,0.24890756,
211,AU Mic c,,,0.600000
212,AU Mic d,,,0.510000
213,AU Mic e,,,0.600000
214,AU Mic e,,,0.600000
215,BD+03 2562 b,1.3000000000,,1.140000
216,BD+05 4868 A b,0.0208000000,,0.700000
217,BD+14 4559 b,0.7800000000,,0.490000
218,BD+14 4559 b,0.7770000000,,0.860000
219,BD+15 2375 b,0.5760000000,,1.080000
220,BD+15 2940 b,0.5390000000,,1.100000
221,BD+20 2457 b,1.0500000000,,10.830000
222,BD+20 2457 b,1.4500000000,,2.800000
223,BD+20 2457 c,2.0100000000,,2.800000
224,BD+20 274 b,1.3000000000,,0.800000
225,BD+20 594 b,0.2410000000,0.19894727,0.961000
226,BD+20 594 b,,0.21013949,0.963861
227,BD+20 594 b,,0.23000000,1.670000
228,BD+37 3172 b,4.6500000000,,3.750000
229,BD+42 2315 b,0.5400000000,,1.380000
230,BD+45 564 b,0.8300000000,,0.810000
231,BD+48 738 b,1.0000000000,,0.740000
232,BD+48 740 b,1.7000000000,,1.090000
233,BD+49 828 b,4.2000000000,,1.520000
234,BD+55 362 b,0.7800000000,,0.909000
235,BD+60 1417 b,1662.0000000000,1.31000000,1.000000
236,BD+63 1405 b,2.0600000000,,0.816000
237,BD+63 1405 b,2.1150000000,,0.816000
238,BD-06 1339 b,,,
239,BD-06 1339 b,0.0428000000,,0.700000
240,BD-06 1339 c,0.4350000000,,0.700000
241,BD-08 2823 b,,,
242,BD-08 2823 b,0.0600000000,,0.500000
243,BD-08 2823 b,0.0560000000,,0.740000
244,BD-08 2823 c,0.6800000000,,0.740000
245,BD-10 3166 b,0.0452000000,,1.010000
246,BD-10 3166 b,0.0400000000,,1.470000
247,BD-10 3166 b,0.0460000000,,1.100000
248,BD-10 3166 b,0.0450000000,,0.999531
249,BD-11 4672 b,2.3600000000,,0.651000
250,BD-11 4672 b,2.2800000000,,0.571000
251,BD-11 4672 c,0.3000000000,,0.651000
252,BD-13 2130 b,2.1000000000,,2.400000
253,BD-13 2130 b,1.6600000000,,2.120000
254,BD-14 3065 b,0.0656000000,1.92600000,1.410000
255,BD-14 3065 b,,1.84773268,
256,BD-17 63 b,1.3400000000,,0.740000
257,BD-17 63 b,,,0.741000
258,BD-17 63 b,,,
259,BD-17 63 b,1.3400000000,,0.310000
260,BD-210397 b,2.6300000000,,0.679000
261,BD-210397 c,5.9600000000,,0.691000
262,BD-210397 c,5.9000000000,,0.679000
263,BD-210397 c,5.9000000000,,0.690000
264,BEBOP-3 b,1.4440000000,,1.083000
265,BEBOP-4 AB b,3.6340000000,,1.507000
266,Barnard b,0.0229000000,,0.162000
267,Barnard b,0.0229400000,,0.162000
268,Barnard c,0.0274000000,,0.162000
269,Barnard d,0.0188000000,,0.162000
270,Barnard e,0.0381000000,,0.162000
271,CD Cet b,0.0185000000,,0.161000
272,CD-35 2722 b,67.0000000000,,0.400000
273,CD-35 2722 b,67.0000000000,1.55000000,
274,CFBDSIR J145829+101343 b,2.6000000000,,0.021000
275,CFHTWIR-Oph 98 b,200.0000000000,1.86000000,0.014700
276,CHXR 73 b,210.0000000000,,0.350000
277,CI Tau c,0.1700000000,,
278,COCONUTS-2 b,,1.11000000,0.370000
279,COCONUTS-2 b,7506.0000000000,1.11000000,0.370000
280,CT Cha b,440.0000000000,2.20000000,
281,CoRoT-1 b,0.0253600000,1.55100000,0.950000
282,CoRoT-1 b,0.0259000000,1.42000000,
283,CoRoT-1 b,,,
284,CoRoT-1 b,0.0275200000,1.71500000,1.220000
285,CoRoT-1 b,,1.49000000,0.950000
286,CoRoT-1 b,,1.83731247,
287,CoRoT-1 b,0.0261000000,1.48000000,1.030000
288,CoRoT-10 b,,0.65887575,
289,CoRoT-10 b,0.1055000000,0.97000000,0.890000
290,CoRoT-10 b,0.1055000000,0.97000000,0.890000
291,CoRoT-10 b,0.1060000000,0.94100000,0.904000
292,CoRoT-11 b,0.0440700000,1.43000000,1.270000
293,CoRoT-11 b,,1.94001209,
294,CoRoT-11 b,0.0440000000,1.42600000,1.260000
295,CoRoT-11 b,,,1.270000
296,CoRoT-11 b,0.0435100000,1.39000000,1.230000
297,CoRoT-11 b,0.0436000000,1.43000000,1.270000
298,CoRoT-11 b,,,1.560000
299,CoRoT-12 b,0.0394000000,1.35000000,1.018000
300,CoRoT-12 b,,1.58447687,
301,CoRoT-12 b,,,1.078000
302,CoRoT-12 b,0.0401600000,1.44000000,1.078000
303,CoRoT-12 b,0.0392000000,1.34400000,1.000000
304,CoRoT-12 b,0.0401300000,1.44000000,1.078000
305,CoRoT-13 b,,,1.090000
306,CoRoT-13 b,,1.11812670,
307,CoRoT-13 b,0.0510000000,0.88500000,1.090000
308,CoRoT-13 b,0.0510700000,0.88500000,1.090000
309,CoRoT-13 b,0.0510000000,1.25200000,1.086000
310,CoRoT-14 b,0.0268700000,1.01800000,1.125000
311,CoRoT-14 b,0.0269100000,1.09000000,1.130000
312,CoRoT-14 b,0.0270000000,1.09000000,1.130000
313,CoRoT-16 b,0.0618000000,1.17000000,1.098000
314,CoRoT-16 b,0.0618000000,1.17000000,1.098000
315,CoRoT-17 b,0.0481000000,1.00700000,1.043000
316,CoRoT-17 b,0.0481000000,1.02000000,1.040000
317,CoRoT-17 b,0.0461000000,1.02000000,1.040000
318,CoRoT-18 b,0.0286000000,1.25100000,0.861000
319,CoRoT-18 b,0.0288000000,1.14600000,0.880000
320,CoRoT-18 b,0.0295000000,1.31000000,0.950000
321,CoRoT-18 b,0.0295000000,1.31000000,0.950000
322,CoRoT-18 b,,1.34263955,
323,CoRoT-18 b,,,0.950000
324,CoRoT-19 b,0.0516600000,1.29000000,1.210000
325,CoRoT-19 b,0.0512000000,1.19000000,1.181000
326,CoRoT-19 b,0.0518000000,1.29000000,1.210000
327,CoRoT-19 b,,,1.210000
328,CoRoT-19 b,,1.20378678,
329,CoRoT-19 b,,,1.210000
330,CoRoT-2 b,0.0285400000,1.47000000,1.018000
331,CoRoT-2 b,,,
332,CoRoT-2 b,,1.50974563,
333,CoRoT-2 b,,,
334,CoRoT-2 b,0.0279800000,1.46600000,0.960000
335,CoRoT-2 b,,,
336,CoRoT-2 b,0.0283500000,1.46000000,0.997000
337,CoRoT-2 b,0.0281000000,1.46500000,
338,CoRoT-2 b,,,
339,CoRoT-2 b,,1.41400000,0.970000
340,CoRoT-2 b,,1.47500000,
341,CoRoT-2 b,0.0281000000,1.46600000,0.970000
342,CoRoT-2 b,,,0.972000
343,CoRoT-20 b,0.0902000000,0.84000000,1.140000
344,CoRoT-20 b,0.0891000000,1.00000000,1.100000
345,CoRoT-20 b,0.0901000000,0.84000000,1.140000
346,CoRoT-20 b,0.0892000000,1.16000000,1.110000
347,CoRoT-20 b,,1.37358660,
348,CoRoT-20 b,0.0900000000,,1.140000
349,CoRoT-20 c,2.9000000000,,1.140000
350,CoRoT-21 b,0.0416000000,1.30000000,1.290000
351,CoRoT-21 b,0.0417000000,1.30000000,1.290000
352,CoRoT-22 b,0.0920000000,0.43500000,1.099000
353,CoRoT-23 b,0.0480900000,1.18000000,1.122000
354,CoRoT-23 b,0.0484000000,1.05000000,1.140000
355,CoRoT-23 b,0.0480000000,1.05000000,1.140000
356,CoRoT-24 b,0.0560000000,0.33000000,0.910000
357,CoRoT-24 c,0.0980000000,0.44000000,0.910000
358,CoRoT-25 b,0.0578900000,1.08000000,1.090000
359,CoRoT-25 b,0.0578000000,1.08000000,1.090000
360,CoRoT-26 b,0.0525000000,1.26000000,1.090000
361,CoRoT-26 b,0.0526000000,1.26000000,1.090000
362,CoRoT-27 b,0.0476000000,1.00700000,1.050000
363,CoRoT-27 b,0.0467000000,1.00700000,1.050000
364,CoRoT-28 b,0.0590000000,0.95500000,1.010000
365,CoRoT-28 b,0.0603000000,0.95500000,1.010000
366,CoRoT-29 b,0.0390000000,0.90000000,0.970000
367,CoRoT-29 b,0.0386000000,0.90000000,0.970000
368,CoRoT-29 b,,,0.900000
369,CoRoT-3 b,,1.01000000,1.370000
370,CoRoT-3 b,0.0574000000,1.01000000,1.370000
371,CoRoT-3 b,,,1.410000
372,CoRoT-3 b,0.0578300000,1.03700000,1.403000
373,CoRoT-3 b,0.0569400000,0.99340000,1.359000
374,CoRoT-30 b,0.0844000000,1.00900000,0.980000
375,CoRoT-31 b,0.0586000000,1.46000000,1.250000
376,CoRoT-32 b,0.0710000000,0.57000000,1.080000
377,CoRoT-32 b,,,1.080000
378,CoRoT-35 b,0.0429000000,1.68000000,1.010000
379,CoRoT-36 b,0.0660000000,1.41000000,1.320000
380,CoRoT-4 b,0.0912000000,1.16000000,1.194000
381,CoRoT-4 b,,1.19880623,
382,CoRoT-4 b,0.0900000000,1.19000000,1.160000
383,CoRoT-4 b,0.0902500000,1.19000000,1.160000
384,CoRoT-5 b,0.0496300000,1.38800000,1.000000
385,CoRoT-5 b,0.0495000000,1.25600000,0.990000
386,CoRoT-5 b,,,
387,CoRoT-5 b,,1.63999516,
388,CoRoT-5 b,0.0500400000,1.18200000,1.025000
389,CoRoT-5 b,0.0494700000,1.38800000,1.000000
390,CoRoT-6 b,0.0855000000,1.18500000,1.054000
391,CoRoT-6 b,0.0855000000,1.16600000,1.050000
392,CoRoT-6 b,0.0854000000,1.16600000,1.050000
393,CoRoT-6 b,,,
394,CoRoT-7 b,,0.13631926,0.915000
395,CoRoT-7 b,,0.15000000,0.820000
396,CoRoT-7 b,0.0170160000,0.14100000,0.913000
397,CoRoT-7 b,,0.14095816,0.884000
398,CoRoT-7 b,0.0170000000,,0.899000
399,CoRoT-7 b,0.0169000000,0.16600000,0.884000
400,CoRoT-7 b,0.0172000000,0.15000000,0.930000
401,CoRoT-7 b,0.0170000000,,0.899000
402,CoRoT-7 c,,,0.915000
403,CoRoT-7 c,0.0460000000,,0.899000
404,CoRoT-7 c,0.0450000000,,0.899000
405,CoRoT-7 d,,,0.915000
406,CoRoT-8 b,0.0633900000,0.57000000,0.880000
407,CoRoT-8 b,0.0636000000,0.61900000,0.890000
408,CoRoT-8 b,0.0633000000,0.71200000,0.878000
409,CoRoT-8 b,0.0630000000,0.57000000,0.880000
410,CoRoT-9 b,0.4021000000,1.06600000,0.960000
411,CoRoT-9 b,0.4029000000,1.06600000,0.960000
412,CoRoT-9 b,0.4070000000,1.05000000,0.990000
413,CoRoT-9 b,,,
414,CoRoT-9 b,0.4027000000,1.03700000,0.960000
415,DE CVn b,5.7500000000,,0.510000
416,DENIS-P J082303.1-491201 b,0.3600000000,,0.075000
417,DH Tau b,330.0000000000,,0.330000
418,DH Tau b,,2.70000000,0.683000
419,DMPP-1 b,0.1423000000,,1.210000
420,DMPP-1 b,0.1462000000,,1.210000
421,DMPP-1 c,0.0973000000,,1.210000
422,DMPP-1 c,0.0733000000,,1.210000
423,DMPP-1 d,0.0446700000,,1.210000
424,DMPP-1 d,0.0422000000,,1.210000
425,DMPP-1 e,0.0651000000,,1.210000
426,DMPP-2 b,0.0663800000,,1.410000
427,DMPP-2 b,0.0664000000,,1.440000
428,DMPP-2 c,0.0478900000,,1.410000
429,DMPP-2 d,0.1432000000,,1.410000
430,DMPP-3 A b,0.0595800000,,0.900000
431,DMPP-3 A b,0.0662000000,,0.870000
432,DMPP-3 A b,0.0662000000,,0.860000
433,DMPP-4 b,0.0485300000,,1.250000
434,DMPP-6 b,0.0779000000,,1.079000
435,DMPP-6 c,0.2206000000,,1.079000
436,DMPP-7 b,0.0587300000,,1.090000
437,DMPP-8 b,0.3098000000,,0.990000
438,DMPP-9 b,0.1097000000,,1.100000
439,DP Leo b,8.1900000000,,0.690000
440,DP Leo b,8.6000000000,,
441,DS Tuc A b,,0.50000000,0.959000
442,DS Tuc A b,,0.55096608,
443,DS Tuc A b,,0.50851994,1.010000
444,EPIC 201170410.02,0.0349000000,0.09340708,0.287000
445,EPIC 201238110 b,,0.20000000,
446,EPIC 201238110 b,,0.16683023,0.410000
447,EPIC 201427007 b,,0.13382127,
448,EPIC 201497682 b,,0.06173610,0.780000
449,EPIC 201595106 b,,0.13000000,
450,EPIC 201595106 b,,0.11597843,
451,EPIC 201595106 b,0.0177000000,0.13962019,0.958000
452,EPIC 201595106 b,,0.11000000,1.018000
453,EPIC 201615463 c,,0.10884111,1.073000
454,EPIC 201754305 d,,0.09189045,0.670000
455,EPIC 201757695.02,0.0296000000,0.08102328,0.727000
456,EPIC 201833600 c,,0.08921402,0.611000
457,EPIC 201833600 c,,0.13200000,
458,EPIC 201841433 b,,0.12600000,
459,EPIC 201841433 b,,0.09813543,0.802000
460,EPIC 201841433 b,0.0350000000,0.09278259,0.802000
461,EPIC 205950854 c,,0.11687037,0.877000
462,EPIC 205950854 c,,0.14500000,
463,EPIC 205950854 c,,0.10527255,0.907000
464,EPIC 206024342 b,,0.15166384,0.928000
465,EPIC 206024342 b,,0.12800000,
466,EPIC 206024342 c,,0.10300000,
467,EPIC 206024342 c,,0.12489985,
468,EPIC 206024342 c,,0.12043893,
469,EPIC 206024342 d,,0.22500000,
470,EPIC 206024342 d,,0.36000000,
471,EPIC 206024342 d,,0.23195686,
472,EPIC 206024342 d,,0.26228923,
473,EPIC 206032309 b,,0.09010616,0.221000
474,EPIC 206042996 b,,0.29600000,
475,EPIC 206042996 b,,0.14452672,0.565000
476,EPIC 206042996 b,,0.15166410,
477,EPIC 206042996 c,,0.12936034,
478,EPIC 206042996 c,,0.10705701,
479,EPIC 206215704 b,,0.20000000,
480,EPIC 206215704 b,,0.08921418,
481,EPIC 206215704 b,,0.08029262,0.407000
482,EPIC 206317286 b,,0.08564546,0.711000
483,EPIC 206317286 b,,0.10900000,
484,EPIC 206317286 c,,0.23463288,
485,EPIC 206317286 c,,0.19200000,
486,EPIC 206317286 c,,0.18681449,0.832000
487,EPIC 211822797 b,,0.19627085,0.610000
488,EPIC 211822797 b,0.1310000000,0.17664377,0.663459
489,EPIC 211822797 b,,,0.585671
490,EPIC 211822797 b,0.1195000000,0.17129122,0.620000
491,EPIC 211822797 b,,,0.585671
492,EPIC 211822797 b,,0.19400000,
493,EPIC 211945201 b,,,1.158000
494,EPIC 211945201 b,,0.53200000,
495,EPIC 211945201 b,0.1493000000,0.51387278,1.170000
496,EPIC 211945201 b,,0.49067798,1.170000
497,EPIC 211945201 b,,0.54000000,
498,EPIC 211945201 b,,0.61000000,
499,EPIC 211945201 b,,,1.180000
500,EPIC 211945201 b,,0.49129266,
501,EPIC 211945201 b,0.1480000000,0.54598983,1.180000
502,EPIC 211945201 b,,,1.158000
503,EPIC 211945201 b,,0.52000000,
504,EPIC 212297394 b,,0.11803015,0.829000
505,EPIC 212297394 b,,0.16300000,
506,EPIC 212297394 b,,0.13203698,0.830000
507,EPIC 212297394 c,,0.20400000,
508,EPIC 212297394 c,,0.20251618,0.830000
509,EPIC 212297394 c,,,0.831000
510,EPIC 212424622 b,,0.19359443,1.106000
511,EPIC 212424622 b,,0.19700000,
512,EPIC 212499991 b,,0.14274244,0.912000
513,EPIC 212587672 b,,0.09991971,0.950000
514,EPIC 212587672 b,,0.12400000,
515,EPIC 212587672 b,,0.11240986,0.990000
516,EPIC 212587672 c,,,1.130000
517,EPIC 212587672 c,,0.20000000,
518,EPIC 212587672 c,,0.21000000,
519,EPIC 212587672 c,,0.20600000,
520,EPIC 212587672 c,,,1.130000
521,EPIC 212587672 c,,0.20697689,0.990000
522,EPIC 212624936 b,,0.10705701,
523,EPIC 212624936 c,,0.20519261,
524,EPIC 212624936 c,,0.23800000,
525,EPIC 212737443 b,0.0980000000,0.23070747,0.690000
526,EPIC 212737443 b,,,0.724000
527,EPIC 212737443 b,,,0.724000
528,EPIC 212737443 c,0.2800000000,0.23998573,0.690000
529,EPIC 220492298 b,,0.08832204,
530,EPIC 220554210 c,,0.14274268,
531,EPIC 220554210 c,,0.15400000,
532,EPIC 220554210 c,,0.13203676,0.940000
533,EPIC 220674823 b,0.0132600000,0.15389446,0.950000
534,EPIC 220674823 b,,0.16000000,
535,EPIC 220674823 b,,0.14885854,0.966939
536,EPIC 220674823 b,0.0131200000,0.16236952,0.920000
537,EPIC 220674823 b,0.0116000000,0.13560532,0.945000
538,EPIC 220674823 b,0.0134000000,0.16236952,0.970000
539,EPIC 220674823 b,0.0131400000,0.14952296,0.913000
540,EPIC 220674823 b,,0.16683051,0.910000
541,EPIC 220674823 b,,0.15273441,0.902000
542,EPIC 220674823 b,,0.16200000,
543,EPIC 220674823 b,,0.14274268,
544,EPIC 220674823 b,,0.13025248,0.930000
545,EPIC 220674823 c,,0.22571148,0.930000
546,EPIC 220674823 c,,0.33800000,
547,EPIC 220674823 c,0.1091000000,0.24355429,0.970000
548,EPIC 220674823 c,,0.26853468,0.910000
549,EPIC 220674823 c,0.1073000000,0.25336827,0.913000
550,EPIC 220674823 c,,0.19627119,
551,EPIC 220674823 c,0.1083000000,0.25301141,0.950000
552,EPIC 220674823 c,0.1050000000,0.22303506,0.945000
553,EPIC 220674823 c,,0.24131516,0.966939
554,EPIC 220674823 c,,0.25000000,
555,EPIC 220674823 c,0.1071000000,0.24712285,0.920000
556,EPIC 228836835 b,,0.09813560,
557,EPIC 228836835 b,,0.11300000,0.418179
558,EPIC 229004835 b,0.1237000000,0.20804746,0.970000
559,EPIC 229004835 b,,0.18000000,
560,EPIC 229004835 b,,0.18000000,1.067000
561,EPIC 229004835 b,,0.19448691,0.950000
562,EPIC 246851721 b,,,1.317000
563,EPIC 246851721 b,,1.22256848,
564,EPIC 246851721 b,0.0722900000,1.05100000,1.317000
565,EPIC 248847494 b,4.5000000000,1.11000000,0.900000
